,Question,Answer,t_dense,t_hybrid,ans_dense,ans_hybrid,src_dense,src_hybrid,s0,s1,quality0,quality1
35,What is the retrieval similarity threshold?,0.75.,1.37,1.377,I don't know.,I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,1,1,0.0,0.0
36,What is the FSM’s primary advantage according to experts?,Its auditable and transparent reasoning process.,2.607,1.373,"The FSM's primary advantage, according to experts, is its ability to improve semantic grounding and user-facing reliability without increasing computational overhead. It also enhances citation fidelity, calibration, and cost discipline for scientific assistance, making it a practical blueprint for auditable, budget-aware retrieval-augmented generation (RAG) systems [source: data\RA_FSM_Paper 2.pdf].",I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,1,0.1272542603143801,0.0
37,How does RA–FSM improve citation reliability?,It uses deterministic source alignment and claim-to-evidence mapping.,4.168,3.207,"RA–FSM improves citation reliability through several mechanisms: 

1. **Finite-State Machine (FSM) Structure**: It employs a finite-state machine with explicit transition guards and retry budgets, which helps create a more controlled and predictable retrieval process.

2. **Deterministic Citation Pipeline**: This ensures that citations are generated in a consistent manner, enhancing citation fidelity.

3. **Auditable and Cost-Aware**: The system is designed to be auditable, allowing for tracking and verification of citations, which contributes to reliability.

4. **Auto-Abstain Thresholds**: These are tuned for target expected calibration error (ECE), helping to mitigate risks associated with misleading citations.

5. **Per-Query Logging**: This logs evidence IDs, thresholds, and budgets, enabling audits and improving accountability in citation practices.

Overall, these features collectively enhance the reliability and trustworthiness of citations in scientific assistance contexts [source: data\RA_FSM_Paper 2.pdf].","RA–FSM improves citation reliability through the use of deterministic citations, which enhance citation fidelity and calibration. This structured approach allows for better tracking and auditing of citations, ensuring that the information provided is accurate and reliable. Additionally, the system incorporates mechanisms such as auto-abstain thresholds and logging of evidence IDs to mitigate risks associated with misleading citations and to enable thorough audits of the citation process [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.1837555834955597,0.17262135267041184
38,What is the Knowledge base’s temporal scope?,Literature published from 2018 to the present.,1.492,2.418,I don't know.,The temporal scope of the Knowledge base is restricted to the years 2018 to the present [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,1,0,0.0,0.37560026386888934
39,What does 'bounded retrieval' mean?,The FSM limits search iterations and retrieval depth to avoid over-fetching.,1.684,1.251,I don't know.,I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,1,1,0.0,0.0
40,What is the purpose of the cron controller?,It schedules periodic ingestion cycles to refresh the knowledge base.,2.895,2.786,"The cron controller governs the ingestion cadence of the finite-state machine (FSM). It transitions the FSM from Idle to Crawl Sources when the timer elapses, executes the full pipeline once, and then returns to Idle. This design helps cap resource consumption and provides deterministic latency between a paper appearing online and becoming searchable [source:RA_FSM_Paper].","The cron controller governs the ingestion cadence of the finite-state machine (FSM). It triggers the transition from Idle to Crawl Sources at set intervals (default = x hours), executes the full pipeline, and then returns to Idle. This design helps cap resource consumption and ensures deterministic latency between a paper appearing online and becoming searchable [source:RA_FSM_Paper 2].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.2046365463223681,0.19265672381830728
41,How are confidence scores represented?,"As discrete values: 0, 0.25, 0.5, 0.75, 1.0.",2.376,2.922,"{
""confidence_score"": 1.0,
""confident"": true,
""reasoning"": ""Confidence scores are represented as specific values: [0.0, 0.25, 0.5, 0.75, 1.0].""
}","Confidence scores are represented in a structured format with values in the set {0.0, 0.25, 0.5, 0.75, 1.0} [source:A.3].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.35064695557059933,0.20552275500990563
42,What is the main risk of deterministic citations?,They can limit flexibility in exploratory or speculative responses.,2.185,1.339,"The main risk of deterministic citations is that they constrain stylistic flexibility, which may be overly conservative for exploratory or speculative tasks. This limitation can hinder creativity and adaptability in certain contexts where a broader range of citation styles might be beneficial [source: data\RA_FSM_Paper 2.pdf].",I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,1,0.22301986362163148,0.0
43,What user interface does RA–FSM include?,An interactive chat interface with grounded answers and a knowledge-base panel.,1.232,2.251,I don't know.,"RA–FSM includes a chat interface, an agentic reasoning core (which consists of Relevance, Confidence, and Knowledge components), a conversation scraper, a Vector DB, and a process sources pipeline [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,1,0,0.0,0.1999504101296486
44,What was the overall correctness rate?,85% overall and 88.4% on confident answers.,1.519,1.732,The overall correctness rate was 85% [source: data\RA_FSM_Paper 2.pdf].,"The overall correctness rate, as indicated by the judge-based grading, is an 85% YES rate for FSM answers [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.13754360455586231,0.12797699979825797
45,What was the contradiction rate compared to baseline?,3% vs 20% for ungated fast drafts.,2.955,1.713,"The contradiction rate for the FSM was 3%, while the baseline (fast drafts) had a contradiction rate of 20% [source: data\RA_FSM_Paper 2.pdf].","The contradiction rate for FSM was 3%, compared to 20% for the baseline (ungated fast drafts) [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.18734938844832097,0.3703410000581632
46,What type of evaluation did domain experts perform?,Blinded A/B reviews comparing RA–FSM with baseline systems.,2.089,1.946,"Domain experts performed blinded A/B reviews to evaluate the RA–FSM system, comparing it to a strong Notebook LM (NLM) and a vanilla (Default GPT API call) single-pass baseline [source:RA_FSM_Paper].",Domain experts performed blinded A/B reviews to evaluate the RA–FSM system against a strong Notebook LM (NLM) and a vanilla (Default GPT API call) single-pass baseline [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.2555852463703904,0.20894924106636956
47,How does retrieval depth (k) affect performance?,Higher k improves recall but can dilute context and increase cost.,3.014,2.907,"The context indicates that retrieval depth (k) affects answer quality, particularly in relation to reasoning prompt levels. Higher values of k can expose context-dilution effects, which may impact the performance of the system, especially under medium to high reasoning prompts. This suggests that while increasing k can provide more information, it may also lead to a decrease in the quality of the answers due to potential dilution of relevant context [source: data\RA_FSM_Paper 2.pdf].","Retrieval depth (k) affects performance by influencing the efficiency and effectiveness of the model. A higher retrieval depth can improve the model's ability to provide relevant information, particularly for focused prompts, but it may also introduce latency and cost overhead. The trade-offs are tunable, meaning that adjusting the retrieval depth can help recover efficiency for narrower tasks while potentially stressing the model's performance on broader, multi-source reasoning tasks [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.09195395361855105,0.11388267027907137
48,What is the implication of 'auditable answers'?,"Every claim is linked to verifiable evidence, enabling traceability.",3.256,1.528,"The term 'auditable answers' implies that the responses generated by a system can be traced, verified, and validated against the sources or evidence used to produce them. This ensures accountability and transparency in the information provided, allowing users to confirm the accuracy and reliability of the answers. In the context of academic writing and research, auditable answers help maintain integrity by reducing the risk of fabricated references and ensuring that claims are supported by credible sources [source: data\RA_FSM_Paper 2.pdf].",I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,1,0.03993201864913754,0.0
49,What future improvements are planned?,Adapting confidence thresholds using expert feedback and adding domain transfer tests.,1.298,1.366,I don't know.,I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,1,1,0.0,0.0
