Question,Answer,t_dense,t_hybrid,ans_dense,ans_hybrid,src_dense,src_hybrid
What is the FSM’s average output token count?,"About 2,264 tokens per query.",1.79,1.52,The FSM's average output token count is 2.3k tokens [source: data\RA_FSM_Paper 2.pdf].,The FSM's average output token count is 2.3k tokens [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the 'Seed → Snowball → Saturate' heuristic?,It broadens coverage by following citation links until most new DOIs are already known.,3.724,3.994,"The 'Seed → Snowball → Saturate' heuristic is a method used to broaden coverage in literature searches. It starts with seed papers and follows backward citations and forward ""Cited-by"" links. The process continues until approximately 90% of newly encountered DOIs are already present, at which point that sub-search is considered saturated [source:RA_FSM_Paper 2].","The 'Seed → Snowball → Saturate' heuristic is a method used to broaden coverage in literature searches. It starts from seed papers and follows backward citations and forward ""Cited-by"" links until approximately 90% of newly encountered DOIs are already present. At that point, the sub-search is considered saturated, meaning no significant new information is expected to be found from that search [source:RA_FSM_Paper].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the retrieval similarity threshold?,0.75.,1.257,1.585,I don't know.,I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the FSM’s primary advantage according to experts?,Its auditable and transparent reasoning process.,3.039,1.274,"The FSM's primary advantage, according to experts, is its ability to improve semantic grounding and user-facing reliability without increasing computational overhead. It also enhances citation fidelity, calibration, and cost discipline for scientific assistance, making it a practical blueprint for auditable, budget-aware retrieval-augmented generation (RAG) systems [source: data\RA_FSM_Paper 2.pdf].",I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
How does RA–FSM improve citation reliability?,It uses deterministic source alignment and claim-to-evidence mapping.,5.149,5.372,"RA–FSM improves citation reliability through several mechanisms: 

1. **Finite-State Machine (FSM) Structure**: It employs a finite-state machine with explicit transition guards and retry budgets, which helps create a more controlled and predictable retrieval process.

2. **Deterministic Citation Pipeline**: This ensures that citations are generated in a consistent manner, enhancing citation fidelity.

3. **Auditable and Cost-Aware**: The system is designed to be auditable, allowing for tracking and verification of citations, which contributes to reliability.

4. **Auto-Abstain Thresholds**: These are tuned for target expected calibration error (ECE), helping to mitigate risks associated with misleading citations.

5. **Per-Query Logging**: This logs evidence IDs, thresholds, and budgets, enabling audits and improving accountability in citation practices.

Overall, these features collectively enhance the reliability of citations by ensuring they are accurate, verifiable, and grounded in the retrieved evidence [source: data\RA_FSM_Paper 2.pdf].","RA–FSM improves citation reliability through several mechanisms: 

1. **Deterministic Citations**: It employs a structured approach to citations, ensuring that the sources cited are explicitly linked to the information provided, which enhances citation fidelity.

2. **Finite-State Control**: This design allows for better management of the reasoning process, leading to more defensible evidence use and reducing the likelihood of miscalibrated confidence in citations.

3. **Auditable Citations**: The system encourages grounded reasoning chains with clear provenance, making it easier to trace back the sources of information and verify their reliability.

4. **Explicit Boundary Conditions**: By setting clear parameters for the information retrieval process, RA–FSM helps maintain the integrity of the citations used.

These features collectively contribute to a more reliable citation process in scientific assistance contexts [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the Knowledge base’s temporal scope?,Literature published from 2018 to the present.,1.118,1.874,I don't know.,The Knowledge base's temporal scope is restricted to the period from 2018 to the present. [source:<short>],data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What does 'bounded retrieval' mean?,The FSM limits search iterations and retrieval depth to avoid over-fetching.,1.429,1.315,I don't know.,I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the purpose of the cron controller?,It schedules periodic ingestion cycles to refresh the knowledge base.,2.425,2.881,"The cron controller governs the ingestion cadence of the finite-state machine (FSM). It transitions the FSM from Idle to Crawl Sources when the timer elapses, executes the full pipeline once, and then returns to Idle. This design helps cap resource consumption and provides deterministic latency between a paper appearing online and becoming searchable [source:RA_FSM_Paper].","The cron controller governs the ingestion cadence of the finite-state machine (FSM). It transitions the FSM from Idle to Crawl Sources when the timer elapses, executes the full pipeline once, and then returns to Idle. This design caps resource consumption and provides deterministic latency between a paper appearing online and becoming searchable [source:RA_FSM_Paper].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
How are confidence scores represented?,"As discrete values: 0, 0.25, 0.5, 0.75, 1.0.",1.684,1.573,"{
""confidence_score"": 1.0,
""confident"": true,
""reasoning"": ""Confidence scores are represented as values from a specific set.""
}","Confidence scores are represented in structured JSON with values in the set {0.0, 0.25, 0.5, 0.75, 1.0}. These scores are used for self-evaluation and to determine the FSM's transitions accordingly [source:A.3].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the main risk of deterministic citations?,They can limit flexibility in exploratory or speculative responses.,2.778,2.586,"The main risk of deterministic citations is that they constrain stylistic flexibility, which may be overly conservative for exploratory or speculative tasks. This limitation can hinder creativity and adaptability in certain contexts where a broader range of citation styles might be beneficial [source: data\RA_FSM_Paper 2.pdf].","The main risk of deterministic citations is that they may not provide accurate or reliable references, as the references often escape the retrieved set. This can lead to issues with citation fidelity and the overall trustworthiness of the information provided by the system [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What user interface does RA–FSM include?,An interactive chat interface with grounded answers and a knowledge-base panel.,1.374,1.956,I don't know.,"RA–FSM includes a chat interface, an agentic reasoning core (which consists of Relevance, Confidence, and Knowledge components), a conversation scraper, a Vector DB, and a process sources pipeline [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What was the overall correctness rate?,85% overall and 88.4% on confident answers.,3.027,1.999,The overall correctness rate was 85% [source: data\RA_FSM_Paper 2.pdf].,The overall correctness rate was 85% for the FSM answers capturing the meaning of the gold responses [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What was the contradiction rate compared to baseline?,3% vs 20% for ungated fast drafts.,1.896,1.866,"The contradiction rate for the FSM was 3%, while the baseline (fast drafts) had a contradiction rate of 20% [source: data\RA_FSM_Paper 2.pdf].","The contradiction rate for the FSM was 3%, compared to 20% for the baseline (ungated fast drafts) [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What type of evaluation did domain experts perform?,Blinded A/B reviews comparing RA–FSM with baseline systems.,3.206,2.321,"Domain experts performed blinded A/B reviews to evaluate the RA–FSM system, comparing it to both a strong Notebook LM (NLM) and a vanilla (Default GPT API call) single-pass baseline [source:RA_FSM_Paper 2].","Domain experts performed blinded A/B reviews to evaluate the RA–FSM system, comparing it to both a strong Notebook LM (NLM) and a vanilla (Default GPT API call) single-pass baseline [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
How does retrieval depth (k) affect performance?,Higher k improves recall but can dilute context and increase cost.,3.025,2.466,"The context indicates that retrieval depth (k) affects answer quality, particularly in relation to reasoning prompt levels. Higher values of k may expose context-dilution effects, which can impact the performance of the system, especially under medium to high reasoning prompts. The trade-offs between k and answer quality are explored through cross-paper synthesis, revealing that larger k can lead to challenges in maintaining answer quality due to the increased amount of retrieved information [source: data\RA_FSM_Paper 2.pdf].","Retrieval depth (k) affects performance by influencing context coverage versus dilution. A higher retrieval depth can improve the coverage of relevant information but may also lead to dilution of the context, which can impact the quality of the responses. The trade-offs associated with retrieval depth are tunable, allowing for adjustments based on the specific application settings to balance efficiency and response quality [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the implication of 'auditable answers'?,"Every claim is linked to verifiable evidence, enabling traceability.",3.972,1.41,"The term 'auditable answers' implies that the responses generated by a system can be traced, verified, and validated against the sources or evidence used to produce them. This ensures accountability and transparency in the information provided, allowing users to confirm the accuracy and reliability of the answers. In the context of academic writing and research, auditable answers help maintain integrity by reducing the risk of fabricated references and ensuring that claims are supported by credible sources [source: data\RA_FSM_Paper 2.pdf].",I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What future improvements are planned?,Adapting confidence thresholds using expert feedback and adding domain transfer tests.,1.214,1.362,I don't know.,I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
