Question,Answer,t_dense,t_hybrid,ans_dense,ans_hybrid,src_dense,src_hybrid
How many retries are allowed per question?,Up to five unsuccessful attempts before aborting.,2.475,2.005,The system allows up to five retries per question if it does not reach high confidence in the answer [source: data\RA_FSM_Paper 2.pdf].,The system allows up to five retries per question [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
How does RA–FSM compare to baseline models?,It outperforms ungated fast drafts and vanilla GPT models in correctness and citation fidelity.,3.646,3.603,"RA–FSM demonstrates several advantages over baseline models, particularly in terms of handling boundary conditions and providing defensible evidence use. It explores beyond the capabilities of a strong Notebook LM (NLM) while incurring tunable latency and cost overheads. The design of RA–FSM emphasizes transparent and auditable answers, making it suitable for high-stakes technical work. However, it introduces additional latency and cost compared to a vanilla, single-pass assistant due to features like confidence checks and targeted retrieval, which are tunable based on retrieval depth and reasoning level [source: data\RA_FSM_Paper 2.pdf].","RA–FSM demonstrates several advantages over baseline models, such as a strong Notebook LM (NLM) and a vanilla (Default GPT API call) single-pass baseline. It shows stronger boundary-condition handling and more defensible evidence use. Coverage and novelty analyses indicate that RA–FSM explores beyond the NLM while incurring tunable latency and cost overheads. Specifically, it has smaller coverage gaps for short factual prompts and produces many novel items that the NLM baseline does not, reflecting its ability to decompose questions and perform targeted retrieval. However, it incurs latency and cost overhead due to confidence checks and targeted retrieval, which can be adjusted based on retrieval depth and reasoning level [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is ECE in calibration metrics?,"Expected Calibration Error, measuring the accuracy of confidence estimates.",3.367,5.01,"ECE stands for Expected Calibration Error. It is a metric used to evaluate the calibration of predicted probabilities in a model, indicating how well the predicted probabilities align with the actual outcomes. A lower ECE value suggests better calibration, meaning the model's confidence in its predictions is more accurately reflected in the actual performance [source: data\RA_FSM_Paper 2.pdf].","ECE stands for Expected Calibration Error. It is a metric used to evaluate the calibration of confidence scores in machine learning models, indicating how well the predicted probabilities of outcomes align with the actual outcomes. A lower ECE value signifies better calibration, meaning the model's confidence in its predictions is more accurately reflective of the true likelihood of those predictions being correct [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
How did isotonic regression affect ECE?,It reduced ECE from 0.325 to 0.164.,2.14,4.819,"Isotonic regression halved the calibration error, reducing the Expected Calibration Error (ECE) from 0.325 to 0.164 [source: data\RA_FSM_Paper 2.pdf].","Isotonic regression halved the calibration error, reducing the Expected Calibration Error (ECE) from 0.325 to 0.164 [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What does 'AURC' measure?,"Area Under the Risk Curve, related to confidence calibration.",3.462,2.781,AURC measures the ranking quality of the answers provided by the system. It is a metric used to evaluate the performance of models in terms of their ability to rank correct answers higher than incorrect ones [source: data\RA_FSM_Paper 2.pdf].,"AURC measures the area under the recall-precision curve, which is a metric used to evaluate the performance of a model in terms of its ability to balance precision and recall across different thresholds. Lower values indicate better performance in terms of ranking quality. [source: data\RA_FSM_Paper 2.pdf]",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the average input token count?,"About 9,304 tokens per query.",1.922,1.584,The average input token count is 9.3k tokens [source:RA_FSM_Paper].,The average input token count is 9.3k tokens [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the FSM’s average output token count?,"About 2,264 tokens per query.",1.916,2.333,The FSM's average output token count is 2.3k tokens [source: data\RA_FSM_Paper 2.pdf].,The FSM's average output token count is 2.3k tokens [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the 'Seed → Snowball → Saturate' heuristic?,It broadens coverage by following citation links until most new DOIs are already known.,3.321,3.842,"The 'Seed → Snowball → Saturate' heuristic is a method used to broaden coverage in literature searches. It starts from seed papers and follows backward citations and forward “Cited-by” links until approximately 90% of newly encountered DOIs are already present. At that point, the sub-search is considered saturated, meaning no significant new information is expected to be found from that search [source:RA_FSM_Paper 2].","The 'Seed → Snowball → Saturate' heuristic is a method used to broaden coverage in literature searches. It starts from seed papers and follows backward citations and forward ""Cited-by"" links until approximately 90% of newly encountered DOIs (Digital Object Identifiers) are already present in the search results. At that point, the sub-search is considered saturated, meaning no significant new information is expected to be found from that search path [source:RA_FSM_Paper].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the retrieval similarity threshold?,0.75.,1.341,1.634,I don't know.,I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the FSM’s primary advantage according to experts?,Its auditable and transparent reasoning process.,2.853,3.249,"The FSM's primary advantage, according to experts, is its ability to improve semantic grounding and user-facing reliability without increasing computational overhead. It also enhances citation fidelity, calibration, and cost discipline for scientific assistance, making it a practical blueprint for auditable, budget-aware retrieval-augmented generation (RAG) systems [source: data\RA_FSM_Paper 2.pdf].","The primary advantage of the FSM (Framework for Semantic Matching) according to experts is its ability to improve citation fidelity, calibration, and cost discipline for scientific assistance. It enhances semantic grounding and user-facing reliability without significantly increasing computational overhead, making it a practical blueprint for auditable, budget-aware retrieval-augmented generation (RAG) systems [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
How does RA–FSM improve citation reliability?,It uses deterministic source alignment and claim-to-evidence mapping.,5.144,4.374,"RA–FSM improves citation reliability through several mechanisms: 

1. **Finite-State Machine (FSM) Structure**: It employs a finite-state machine with explicit transition guards and retry budgets, which helps create a more controlled and predictable retrieval process.

2. **Deterministic Citation Pipeline**: This ensures that citations are generated in a consistent manner, reducing the likelihood of errors or misleading references.

3. **Auditable and Cost-Aware**: The system is designed to be auditable, allowing for tracking and verification of citations, which enhances trust in the information provided.

4. **Auto-Abstain Thresholds**: These are tuned for target expected calibration error (ECE), helping to mitigate risks associated with inaccurate citations.

5. **Red-Team Prompts**: These are used to target and identify misleading citations and near-miss evidence, further refining the reliability of the citations.

6. **Per-Query Logging**: This logs evidence IDs, thresholds, and budgets, enabling thorough audits of the citation process.

Overall, these features contribute to improved citation fidelity, calibration, and cost discipline for scientific assistance [source: data\RA_FSM_Paper 2.pdf].","RA–FSM improves citation reliability through several mechanisms:

1. **Deterministic Citations**: It employs a deterministic citation pipeline that ensures citations are grounded and auditable, which enhances citation fidelity and reduces the likelihood of citing sources that were not retrieved.

2. **Finite-State Control**: The use of a finite-state machine (FSM) introduces explicit boundary conditions and provenance tracking, which helps maintain the integrity of the information being cited.

3. **Confidence Calibration**: RA–FSM includes mechanisms for confidence calibration, which helps in providing more reliable self-assessments of the information being presented, thereby improving the overall trustworthiness of the citations.

4. **Explicit Logging**: The system logs evidence IDs, thresholds, and budgets per query, allowing for audits and reviews of the citations used, which further enhances accountability.

These features collectively contribute to a more reliable and trustworthy citation process in scientific assistance contexts [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the Knowledge base’s temporal scope?,Literature published from 2018 to the present.,1.276,2.329,I don't know.,The temporal scope of the knowledge base is restricted to the period from 2018 to the present [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What does 'bounded retrieval' mean?,The FSM limits search iterations and retrieval depth to avoid over-fetching.,1.348,2.64,I don't know.,"The term 'bounded retrieval' is not explicitly defined in the provided context, so I don't know its specific meaning.",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the purpose of the cron controller?,It schedules periodic ingestion cycles to refresh the knowledge base.,2.787,2.338,"The cron controller governs the ingestion cadence of the finite-state machine (FSM). It transitions the FSM from an Idle state to Crawl Sources when the timer elapses, executes the full pipeline once, and then returns to Idle. This design helps cap resource consumption and provides deterministic latency between a paper appearing online and becoming searchable [source:RA_FSM_Paper].","The cron controller governs the ingestion cadence of the finite-state machine (FSM). It transitions the FSM from Idle to Crawl Sources when the timer elapses, executes the full pipeline once, and then returns to Idle. This design helps cap resource consumption and provides deterministic latency between a paper appearing online and becoming searchable [source:RA_FSM_Paper].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
How are confidence scores represented?,"As discrete values: 0, 0.25, 0.5, 0.75, 1.0.",2.182,1.704,"{
""confidence_score"": 1.0,
""confident"": true,
""reasoning"": ""Confidence scores are represented as values from a specific set.""
}","Confidence scores are represented as a numerical value from the set [0.0, 0.25, 0.5, 0.75, 1.0]. Additionally, a binary indicator called ""confident"" is true only if the confidence score is 0.75 or higher [source:A.1].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the main risk of deterministic citations?,They can limit flexibility in exploratory or speculative responses.,2.361,2.685,"The main risk of deterministic citations is that they constrain stylistic flexibility, which may be overly conservative for exploratory or speculative tasks. This limitation can hinder creativity and adaptability in certain contexts where a broader range of citation styles might be beneficial [source: data\RA_FSM_Paper 2.pdf].","The main risk of deterministic citations is that they constrain stylistic flexibility, which may be overly conservative for exploratory or speculative tasks. This limitation can hinder the ability to generate creative or varied responses in certain contexts [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What user interface does RA–FSM include?,An interactive chat interface with grounded answers and a knowledge-base panel.,1.082,1.906,I don't know.,"RA–FSM includes a chat interface, an agentic reasoning core (which consists of Relevance, Confidence, and Knowledge components), a conversation scraper, a Vector DB, and a process sources pipeline [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What was the overall correctness rate?,85% overall and 88.4% on confident answers.,1.918,2.639,The overall correctness rate was 85% [source: data\RA_FSM_Paper 2.pdf].,"The overall correctness rate, as indicated by the YES rate for the FSM, is 85% [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What was the contradiction rate compared to baseline?,3% vs 20% for ungated fast drafts.,2.123,2.009,"The contradiction rate for the FSM was 3%, while the baseline (fast drafts) had a contradiction rate of 20% [source: data\RA_FSM_Paper 2.pdf].","The contradiction rate for the FSM was 3%, compared to 20% for the baseline (ungated fast drafts) [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What type of evaluation did domain experts perform?,Blinded A/B reviews comparing RA–FSM with baseline systems.,2.211,3.573,"Domain experts performed blinded A/B reviews to evaluate the RA–FSM system, comparing it to both a strong Notebook LM (NLM) and a vanilla (Default GPT API call) single-pass baseline [source:RA_FSM_Paper 2].","Domain experts performed blinded A/B reviews to evaluate the RA–FSM system, comparing it to both a strong Notebook LM (NLM) and a vanilla (Default GPT API call) single-pass baseline. They preferred RA–FSM due to its grounded reasoning chains with auditable citations, despite high automated metrics for novelty [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
How does retrieval depth (k) affect performance?,Higher k improves recall but can dilute context and increase cost.,3.482,3.836,"The context indicates that retrieval depth (k) affects answer quality, particularly in relation to reasoning prompts. Higher values of k may expose context-dilution effects, which can impact the performance of the system. Specifically, the application and use case of the system are most sensitive to medium and high reasoning prompts when larger k values are used, suggesting that while more retrieved chunks can provide more information, they may also lead to a decrease in the quality of the final answer due to potential dilution of context [source: data\RA_FSM_Paper 2.pdf].","Retrieval depth (k) affects performance by influencing context coverage versus dilution. A higher k allows for more top-k chunks to be appended to the context, which can improve the quality of answers, especially for end-to-end tasks that require chaining retrieved facts with domain heuristics. However, increasing k can also lead to context dilution, which may negatively impact answer quality. The trade-offs between k and answer quality are significant, as they can determine the effectiveness of the retrieval-augmented generation process [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the implication of 'auditable answers'?,"Every claim is linked to verifiable evidence, enabling traceability.",3.535,1.773,"The term 'auditable answers' implies that the responses generated by a system can be traced, verified, and validated against the sources or evidence used to produce them. This ensures accountability and transparency in the information provided, allowing users to confirm the accuracy and reliability of the answers. In the context of academic writing and research, auditable answers help maintain integrity by reducing the risk of fabricated references and ensuring that claims are supported by credible sources [source: data\RA_FSM_Paper 2.pdf].",I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What future improvements are planned?,Adapting confidence thresholds using expert feedback and adding domain transfer tests.,1.18,1.319,I don't know.,I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
